20_USA-road-d.BAY.gr;9.167999982833862;15332.560000000001;15332.560000000001;0.0
20_USA-road-d.COL.gr;0.8589999675750732;7076.52;7076.52;0.0
20_USA-road-d.NY.gr;0.6559998989105225;9454.47;9454.47;0.0
40_USA-road-d.BAY.gr;182.25999999046326;11890.279999999999;0;Inf
40_USA-road-d.COL.gr;181.80999994277954;14837.25;0;Inf
40_USA-road-d.NY.gr;37.54800009727478;17330.1;17330.1;0.0
60_USA-road-d.BAY.gr;182.15599989891052;8354.61;0;Inf
60_USA-road-d.COL.gr;20.255000114440918;23914.23;23914.23;0.0
60_USA-road-d.NY.gr;182.74200010299683;15809.650000000001;0;Inf
80_USA-road-d.BAY.gr;185.5699999332428;10336.97;0;Inf
80_USA-road-d.COL.gr;183.83300018310547;13514.14;0;Inf
80_USA-road-d.NY.gr;182.74499988555908;15809.650000000001;0;Inf
100_USA-road-d.BAY.gr;186.4579999446869;9884.89;0;Inf
100_USA-road-d.COL.gr;185.73200011253357;24397.54;0;Inf
100_USA-road-d.NY.gr;184.88700008392334;18951.84;0;Inf
